"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageYrBlt","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","3SsnPorch","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1422,120,"RL",53,4043,"Reg","Lvl","Inside","Gtl","NPkVill","Norm","TwnhsE","1Story",6,5,1977,1977,"Gable","CompShg","Plywood","Plywood","None","TA","TA","CBlock","Gd","TA","No",360,"Unf",0,709,1069,"TA","Y","SBrkr",1069,0,1069,0,2,0,2,"TA",4,"Typ",1,1977,"RFn",2,440,"Y",0,55,0,7,2010,"WD","Normal",127500
1017,20,"RL",73,11883,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,1996,1996,"Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Gd",690,"Unf",0,814,1504,"Ex","Y","SBrkr",1504,0,1504,1,2,0,3,"Gd",6,"Typ",1,1996,"Fin",2,478,"Y",115,66,0,6,2009,"WD","Normal",203000
679,20,"RL",80,11844,"IR1","Lvl","Inside","Gtl","StoneBr","Norm","1Fam","1Story",8,5,2008,2008,"Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Mn",0,"Unf",0,2046,2046,"Ex","Y","SBrkr",2046,0,2046,0,2,1,3,"Gd",7,"Typ",1,2008,"Fin",3,834,"Y",322,82,0,7,2009,"New","Partial",372500
2177,60,"RL",41,10905,"IR2","Lvl","CulDSac","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No",0,"Unf",0,1129,1129,"Ex","Y","SBrkr",1129,1198,2327,0,2,1,4,"Gd",9,"Typ",1,2003,"RFn",2,596,"Y",0,57,0,8,2008,"WD","Normal",198422.868144723
930,60,"RL",NA,13006,"IR1","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","2Story",7,5,1997,1997,"Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","No",0,"Unf",0,964,964,"Gd","Y","SBrkr",993,1243,2236,0,2,1,4,"Gd",8,"Typ",1,1997,"Fin",2,642,"Y",0,0,0,11,2006,"WD","Normal",222000
1533,20,"RM",69,5805,"Reg","Bnk","Inside","Mod","OldTown","Norm","1Fam","1Story",5,7,1957,1957,"Hip","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","Mn",274,"Rec",1073,0,1347,"Gd","Y","SBrkr",1347,0,1347,1,1,0,3,"Gd",6,"Typ",0,1957,"Unf",2,551,"Y",0,0,0,6,2010,"WD","Normal",171104.853481351
471,120,"RL",NA,6820,"IR1","Lvl","Corner","Gtl","StoneBr","Norm","TwnhsE","1Story",8,5,1985,1985,"Gable","CompShg","HdBoard","HdBoard","None","Gd","TA","PConc","Gd","TA","Av",368,"BLQ",1120,0,1488,"TA","Y","SBrkr",1502,0,1502,1,1,1,1,"Gd",4,"Typ",0,1985,"RFn",2,528,"Y",0,54,0,6,2010,"WD","Normal",212000
2347,20,"FV",75,9000,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No",0,"Unf",0,1335,1335,"Ex","Y","SBrkr",1335,0,1335,0,2,0,3,"Gd",6,"Typ",0,2007,"RFn",2,575,"Y",0,210,0,6,2007,"New","Partial",180085.766885029
270,20,"RL",NA,7917,"IR1","Lvl","Corner","Gtl","Edwards","Norm","1Fam","1Story",6,7,1976,1976,"Hip","CompShg","HdBoard","HdBoard","BrkFace","TA","Gd","CBlock","TA","Gd","No",751,"Unf",0,392,1143,"TA","Y","SBrkr",1113,0,1113,1,1,1,3,"TA",6,"Typ",1,1987,"RFn",1,504,"Y",370,30,0,5,2007,"WD","Normal",148000
1211,60,"RL",70,11218,"Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","2Story",6,5,1992,1992,"Gable","CompShg","Wd Sdng","Wd Sdng","None","Gd","TA","PConc","Gd","TA","No",0,"Unf",0,1055,1055,"Ex","Y","SBrkr",1055,790,1845,0,2,1,3,"Gd",8,"Typ",1,1992,"RFn",2,462,"Y",635,104,0,5,2010,"WD","Normal",189000
597,70,"RM",60,3600,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2Story",6,7,1910,1993,"Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","No",0,"Unf",0,684,684,"Ex","N","FuseA",684,684,1368,0,1,0,3,"TA",7,"Typ",0,1930,"Unf",1,216,"N",0,158,0,10,2006,"WD","Normal",114504
1301,60,"RL",NA,10762,"IR1","Lvl","CulDSac","Gtl","Gilbert","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No",694,"Unf",0,284,978,"Ex","Y","SBrkr",1005,978,1983,0,2,1,3,"Gd",9,"Typ",1,1999,"Fin",2,490,"Y",0,0,0,5,2009,"WD","Normal",225000
1974,60,"RL",85,10574,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","No",856,"Unf",0,292,1148,"Ex","Y","SBrkr",1170,1162,2332,1,2,1,4,"Ex",9,"Typ",1,2004,"Fin",3,756,"Y",224,142,0,7,2008,"WD","Normal",196666.554897677
330,70,"RM",60,6402,"Reg","Lvl","Corner","Gtl","IDOTRR","Norm","1Fam","2Story",5,5,1920,1950,"Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","PConc","TA","TA","Mn",0,"Unf",0,596,596,"TA","N","SBrkr",596,596,1192,0,1,0,3,"TA",6,"Typ",0,1920,"Unf",1,189,"N",0,0,0,7,2009,"WD","Normal",78000
1799,20,"RL",60,7200,"Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",5,7,1952,1952,"Gable","CompShg","MetalSd","MetalSd","None","TA","Gd","CBlock","TA","Gd","No",630,"BLQ",102,0,732,"TA","Y","SBrkr",732,0,732,1,1,0,2,"TA",4,"Typ",0,1952,"Unf",1,240,"Y",0,68,0,9,2009,"WD","Normal",164786.741540638
1615,160,"RM",21,1476,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","Twnhs","2Story",4,7,1970,1970,"Gable","CompShg","CemntBd","CmentBd","None","TA","TA","CBlock","TA","TA","No",176,"Unf",0,370,546,"Ex","Y","SBrkr",546,546,1092,0,1,1,3,"TA",5,"Typ",0,NA,NA,0,0,"Y",200,26,0,3,2010,"WD","Normal",159270.537808667
1749,20,"RL",80,9600,"Reg","Lvl","Inside","Gtl","NWAmes","Feedr","1Fam","1Story",5,5,1969,1969,"Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","Gd","TA","Mn",553,"Rec",147,588,1288,"TA","Y","SBrkr",1336,0,1336,0,2,0,3,"TA",6,"Typ",1,1969,"RFn",2,502,"Y",312,11,0,8,2009,"WD","Normal",181681.021081956
37,20,"RL",112,10859,"Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No",0,"Unf",0,1097,1097,"Ex","Y","SBrkr",1097,0,1097,0,1,1,3,"TA",6,"Typ",0,1995,"Unf",2,672,"Y",392,64,0,6,2009,"WD","Normal",145000
1129,60,"RL",59,11796,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av",0,"Unf",0,847,847,"Ex","Y","SBrkr",847,1112,1959,0,2,1,4,"Gd",8,"Typ",1,2004,"Fin",2,434,"Y",100,48,0,7,2007,"WD","Normal",215000
729,90,"RL",85,11475,"Reg","Lvl","Corner","Gtl","NAmes","Norm","Duplex","1Story",5,5,1958,1958,"Gable","CompShg","VinylSd","VinylSd","BrkFace","TA","TA","CBlock","TA","TA","No",0,"Unf",0,1584,1584,"TA","Y","SBrkr",1776,0,1776,1,2,0,4,"TA",9,"Typ",0,1968,"Unf",3,888,"Y",0,25,0,7,2009,"COD","Abnorml",110000
878,60,"RL",74,8834,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",9,5,2004,2005,"Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","No",1170,"Unf",0,292,1462,"Ex","Y","SBrkr",1462,762,2224,1,2,1,4,"Ex",10,"Typ",1,2004,"Fin",3,738,"Y",184,0,0,6,2009,"WD","Normal",350000
485,20,"RL",NA,7758,"IR1","Lvl","Corner","Gtl","Sawyer","Norm","1Fam","1Story",5,7,1962,2001,"Gable","CompShg","HdBoard","Plywood","None","TA","Gd","CBlock","TA","TA","No",588,"Unf",0,411,999,"Gd","Y","SBrkr",999,0,999,1,1,0,3,"Gd",6,"Typ",0,1963,"Unf",1,264,"Y",0,132,0,3,2007,"WD","Normal",132500
1826,50,"RM",60,6000,"Reg","Lvl","Corner","Gtl","BrkSide","Norm","1Fam","1.5Fin",5,5,1924,1950,"Gable","CompShg","Stucco","Stucco","BrkFace","TA","TA","BrkTil","TA","TA","No",220,"Unf",0,248,468,"Gd","Y","SBrkr",822,320,1142,0,1,0,3,"TA",6,"Typ",0,1924,"Fin",1,320,"Y",0,0,0,6,2009,"WD","Normal",172386.297919134
2430,20,"RL",66,8300,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1968,1968,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","Mn",952,"Unf",0,0,952,"Gd","Y","SBrkr",952,0,952,1,1,0,3,"TA",5,"Typ",0,1968,"Unf",1,288,"Y",0,0,0,8,2007,"WD","Normal",180917.925148076
975,70,"RL",60,11414,"IR1","Lvl","Corner","Gtl","BrkSide","RRAn","1Fam","2Story",7,8,1910,1993,"Gable","CompShg","HdBoard","HdBoard","None","TA","Gd","BrkTil","Gd","TA","No",0,"Unf",0,728,728,"TA","N","SBrkr",1136,883,2019,0,1,0,3,"Gd",8,"Typ",0,1997,"Unf",2,532,"Y",509,135,0,10,2009,"WD","Normal",167500
2849,60,"RL",70,8726,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No",0,"Unf",0,872,872,"Ex","Y","SBrkr",872,1037,1909,0,2,1,4,"Gd",8,"Typ",0,2002,"RFn",2,529,"Y",0,108,0,9,2006,"WD","Normal",197034.759055859
2374,60,"FV",106,8413,"IR1","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",8,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None","Gd","Gd","PConc","Ex","TA","Mn",901,"Unf",0,319,1220,"Ex","Y","SBrkr",1220,1142,2362,1,2,1,3,"Gd",8,"Typ",2,1998,"RFn",2,1105,"Y",147,0,0,6,2007,"WD","Normal",178930.528374292
2378,20,"RL",78,11700,"Reg","Lvl","Inside","Gtl","NWAmes","RRAn","1Fam","1Story",6,6,1968,1968,"Gable","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","No",0,"Unf",0,912,912,"Ex","Y","SBrkr",1152,0,1152,1,1,1,3,"TA",7,"Typ",0,1968,"RFn",2,412,"Y",0,126,0,9,2007,"CWD","Normal",188714.148087543
554,20,"RL",67,8777,"Reg","Lvl","Inside","Gtl","Edwards","Feedr","1Fam","1Story",4,5,1949,2003,"Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock",NA,NA,NA,0,NA,0,0,0,"Ex","Y","SBrkr",1126,0,1126,0,2,0,2,"Gd",5,"Typ",0,2002,"Fin",2,520,"N",0,96,0,5,2009,"WD","Normal",108000
1446,85,"RL",70,8400,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","SFoyer",6,5,1966,1966,"Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","Gd",187,"Rec",627,0,814,"Gd","Y","SBrkr",913,0,913,1,1,0,3,"TA",6,"Typ",0,1990,"Unf",1,240,"Y",0,0,0,5,2007,"WD","Normal",129000
2159,80,"RL",85,10541,"IR1","Lvl","Corner","Gtl","SawyerW","Norm","1Fam","SLvl",7,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av",0,"Unf",0,672,672,"Ex","Y","SBrkr",1302,735,2037,0,2,1,3,"Gd",8,"Typ",1,1996,"Fin",2,472,"Y",100,33,0,2,2008,"WD","Normal",177801.266806344
1948,20,"RL",NA,47280,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","1Story",6,5,1950,1950,"Hip","CompShg","AsbShng","AsbShng","BrkFace","TA","TA","CBlock","TA","TA","No",0,"Unf",0,1488,1488,"Gd","Y","SBrkr",1488,0,1488,0,2,1,3,"TA",6,"Typ",1,1950,"RFn",2,738,"Y",0,0,0,7,2008,"WD","Family",255629.49047034
2580,190,"C (all)",75,8250,"Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","2fmCon","2Story",5,6,1895,2006,"Gable","CompShg","VinylSd","VinylSd","None","TA","Gd","CBlock","TA","TA","No",0,"Unf",0,957,957,"Fa","N","SBrkr",1034,957,1991,0,2,0,4,"TA",9,"Typ",0,NA,NA,0,0,"N",0,0,0,6,2007,"WD","Normal",191885.618181273
1530,20,"RL",80,9760,"Reg","Lvl","Inside","Mod","NAmes","Norm","1Fam","1Story",6,7,1963,1984,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","Gd",717,"LwQ",263,415,1395,"TA","Y","SBrkr",1395,0,1395,1,1,0,2,"TA",7,"Min1",1,1963,"RFn",2,440,"Y",657,0,0,5,2010,"WD","Normal",164507.672539365
2604,160,"RM",21,1495,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","2Story",4,6,1970,1970,"Gable","CompShg","CemntBd","CmentBd","BrkFace","TA","TA","CBlock","TA","TA","No",384,"Unf",0,162,546,"Ex","Y","SBrkr",546,546,1092,0,1,1,3,"TA",5,"Typ",0,NA,NA,0,0,"Y",0,64,0,5,2007,"WD","Normal",164210.746523801
343,90,"RL",NA,8544,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Duplex","1Story",3,4,1949,1950,"Gable","CompShg","Stucco","Stucco","BrkFace","TA","TA","Slab",NA,NA,NA,0,NA,0,0,0,"Fa","N","FuseA",1040,0,1040,0,2,0,2,"TA",6,"Typ",0,1949,"Unf",2,400,"Y",0,0,0,5,2006,"WD","Normal",87500
2630,60,"RL",63,12292,"IR1","HLS","CulDSac","Gtl","StoneBr","Norm","1Fam","2Story",9,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","Gd","Gd",205,"Unf",0,889,1094,"Ex","Y","SBrkr",1102,1371,2473,0,2,1,4,"Gd",11,"Typ",1,2006,"Fin",3,675,"Y",246,39,0,7,2006,"New","Partial",201842.998700429
40,90,"RL",65,6040,"Reg","Lvl","Inside","Gtl","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None","TA","TA","PConc",NA,NA,NA,0,NA,0,0,0,"TA","N","FuseP",1152,0,1152,0,2,0,2,"Fa",6,"Typ",0,NA,NA,0,0,"N",0,0,0,6,2008,"WD","AdjLand",82000
537,60,"RL",57,8924,"IR1","Lvl","CulDSac","Gtl","CollgCr","Norm","1Fam","2Story",7,5,1998,1999,"Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Av",0,"Unf",0,880,880,"Ex","Y","SBrkr",880,844,1724,0,2,1,3,"Gd",8,"Typ",0,1998,"Fin",2,527,"Y",120,155,0,7,2008,"WD","Normal",188000
2423,50,"RL",60,14190,"Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin",4,7,1890,2006,"Gable","CompShg","VinylSd","VinylSd","None","Gd","Gd","CBlock","Fa","TA","No",0,"Unf",0,925,925,"Gd","Y","SBrkr",1000,544,1544,0,2,0,3,"TA",7,"Typ",0,NA,NA,0,0,"N",231,0,0,4,2007,"WD","Normal",188090.100808026
248,20,"RL",75,11310,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1954,1954,"Hip","CompShg","Wd Sdng","BrkFace","None","TA","TA","CBlock","TA","TA","No",0,"Unf",0,1367,1367,"Ex","Y","SBrkr",1375,0,1375,0,1,0,2,"TA",5,"Typ",1,1954,"Unf",2,451,"Y",0,30,0,6,2006,"WD","Normal",140000
1222,20,"RL",55,8250,"Reg","Lvl","Inside","Gtl","Sawyer","Feedr","1Fam","1Story",5,5,1968,1968,"Hip","CompShg","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No",250,"LwQ",492,210,952,"Ex","Y","SBrkr",1211,0,1211,0,1,0,3,"TA",5,"Typ",1,1968,"Unf",1,322,"Y",0,63,0,8,2008,"WD","Normal",134000
2426,50,"RL",60,10284,"Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam","1.5Fin",4,7,1925,1993,"Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","Mn",1030,"LwQ",66,55,1151,"Ex","Y","SBrkr",845,436,1281,1,2,0,1,"TA",6,"Mod",0,1978,"Unf",2,580,"Y",0,0,0,8,2007,"WD","Abnorml",158270.753116401
2087,50,"RM",57,9184,"Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin",5,7,1948,2005,"Gable","CompShg","WdShing","Wd Shng","None","TA","TA","BrkTil","TA","TA","No",0,"Unf",0,780,780,"Ex","Y","SBrkr",948,375,1323,0,1,0,3,"TA",6,"Typ",0,1948,"Unf",2,400,"Y",0,0,0,7,2008,"WD","Normal",180655.101535034
2483,20,"RL",86,8665,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,1968,1968,"Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","Mn",168,"BLQ",288,420,876,"TA","Y","SBrkr",897,0,897,0,1,0,3,"TA",5,"Typ",0,1968,"RFn",1,264,"Y",0,0,0,1,2007,"WD","Normal",173902.011270196
2858,20,"RL",65,8772,"Reg","Lvl","FR2","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Mn",996,"Unf",0,340,1336,"Ex","Y","SBrkr",1336,0,1336,1,2,0,3,"Gd",6,"Typ",0,2005,"Unf",2,502,"Y",136,43,0,9,2006,"New","Partial",183849.408762071
1414,20,"RL",88,10994,"IR1","Lvl","Corner","Gtl","SawyerW","Norm","1Fam","1Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","Gd","No",976,"Unf",0,868,1844,"Ex","Y","SBrkr",1844,0,1844,1,2,0,2,"Gd",7,"Typ",1,2005,"Fin",2,620,"Y",165,44,0,9,2009,"COD","Abnorml",257000
1304,20,"RL",73,8688,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av",0,"Unf",0,1616,1616,"Ex","Y","SBrkr",1616,0,1616,0,2,0,3,"Gd",7,"Typ",0,2005,"RFn",3,834,"Y",208,59,0,4,2006,"WD","Normal",232000
1696,60,"RL",NA,15896,"IR2","Lvl","CulDSac","Gtl","Gilbert","RRNn","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No",913,"Unf",0,264,1177,"Ex","Y","SBrkr",1223,1089,2312,1,2,1,4,"Gd",8,"Typ",1,1999,"Fin",3,658,"Y",298,0,0,5,2009,"WD","Normal",204032.992922943
526,20,"FV",62,7500,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No",0,"Unf",0,1257,1257,"Ex","Y","SBrkr",1266,0,1266,0,2,0,3,"Gd",6,"Typ",1,2005,"Unf",2,453,"Y",38,144,0,4,2006,"WD","Normal",176000
2690,60,"FV",100,13162,"Reg","Lvl","Corner","Gtl","Somerst","Feedr","1Fam","2Story",9,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","No",1836,"Unf",0,200,2036,"Ex","Y","SBrkr",2036,604,2640,1,3,1,3,"Ex",11,"Typ",1,2006,"RFn",3,792,"Y",0,265,0,11,2006,"New","Partial",194698.882220432
1069,160,"RM",42,3964,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","2Story",6,4,1973,1973,"Gable","CompShg","CemntBd","CmentBd","None","TA","TA","CBlock","Gd","TA","No",837,"Unf",0,105,942,"Gd","Y","SBrkr",1291,1230,2521,1,2,1,5,"TA",10,"Maj1",1,1973,"Fin",2,576,"Y",728,20,0,6,2006,"WD","Normal",151400
1426,20,"RL",80,10721,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1959,1959,"Hip","CompShg","HdBoard","HdBoard","Stone","Gd","TA","CBlock","TA","TA","No",0,"Unf",0,1252,1252,"Ex","Y","SBrkr",1252,0,1252,0,1,0,3,"Gd",7,"Typ",0,1960,"Unf",2,528,"Y",0,39,0,10,2008,"WD","Normal",142000
22,45,"RM",57,7449,"Reg","Bnk","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No",0,"Unf",0,637,637,"Ex","Y","FuseF",1108,0,1108,0,1,0,3,"Gd",6,"Typ",1,1930,"Unf",1,280,"N",0,0,0,6,2007,"WD","Normal",139400
1742,160,"FV",34,2998,"Reg","Lvl","Inside","Gtl","Somerst","Norm","TwnhsE","2Story",6,5,2000,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace","Gd","TA","PConc","Gd","TA","No",507,"Unf",0,249,756,"Ex","Y","SBrkr",756,756,1512,1,2,1,2,"Gd",4,"Typ",0,2000,"Unf",2,440,"Y",0,32,0,8,2009,"WD","Normal",155412.151845447
1766,20,"RL",92,10573,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,6,1961,1961,"Hip","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","No",1312,"Unf",0,141,1453,"Ex","Y","SBrkr",1453,0,1453,1,2,0,3,"TA",6,"Typ",1,1961,"RFn",2,530,"Y",0,49,0,4,2009,"WD","Normal",179176.352180931
